German,English
Hallo,hello
Tschüss,bye
Guten Morgen,good morning
Guten Tag,good day; hello
Guten Abend,good evening
Gute Nacht,good night
Auf Wiedersehen,goodbye
Bitte,please; you are welcome
Danke,thanks
Danke schön,thank you very much
Vielen Dank,many thanks
Entschuldigung,excuse me; sorry
Ja,yes
Nein,no
Willkommen,welcome
Wie geht es dir,how are you (informal)
Wie geht es Ihnen,how are you (polite)
Bis bald,see you soon
Bis später,see you later
Bis morgen,see you tomorrow
Prost,cheers
Viel Glück,good luck
ich,I
du,you (informal)
er,he
sie,she; they
es,it
wir,we
ihr,you (plural)
Sie,you (polite)
mich,me
mir,to me
dich,you (object)
dir,to you
uns,us
euch,you (plural object)
man,one; you (general)
mein,my
dein,your (informal)
unser,our
wer,who
was,what
wo,where
wann,when
wie,how
warum,why
welcher,which
wohin,where to
woher,where from
wie viel,how much
wie viele,how many
null,zero
eins,one
zwei,two
drei,three
vier,four
fünf,five
sechs,six
sieben,seven
acht,eight
neun,nine
zehn,ten
elf,eleven
zwölf,twelve
dreizehn,thirteen
vierzehn,fourteen
fünfzehn,fifteen
sechzehn,sixteen
siebzehn,seventeen
achtzehn,eighteen
neunzehn,nineteen
zwanzig,twenty
dreißig,thirty
vierzig,forty
fünfzig,fifty
sechzig,sixty
siebzig,seventy
achtzig,eighty
neunzig,ninety
hundert,hundred
tausend,thousand
eine Million,one million
erste,first
zweite,second
dritte,third
Zeit; die Zeit,time
Tag; der Tag,day
Woche; die Woche,week
Monat; der Monat,month
Jahr; das Jahr,year
Stunde; die Stunde,hour
Minute; die Minute,minute
Uhr; die Uhr,clock; watch
Morgen; der Morgen,morning
Mittag; der Mittag,noon
Nachmittag; der Nachmittag,afternoon
Abend; der Abend,evening
Nacht; die Nacht,night
Wochenende; das Wochenende,weekend
Montag; der Montag,Monday
Dienstag; der Dienstag,Tuesday
Mittwoch; der Mittwoch,Wednesday
Donnerstag; der Donnerstag,Thursday
Freitag; der Freitag,Friday
Samstag; der Samstag,Saturday
Sonntag; der Sonntag,Sunday
Januar; der Januar,January
Februar; der Februar,February
März; der März,March
April; der April,April
Mai; der Mai,May
Juni; der Juni,June
Juli; der Juli,July
August; der August,August
September; der September,September
Oktober; der Oktober,October
November; der November,November
Dezember; der Dezember,December
Frühling; der Frühling,spring
Sommer; der Sommer,summer
Herbst; der Herbst,autumn; fall
Winter; der Winter,winter
heute,today
gestern,yesterday
morgen,tomorrow
jetzt,now
früh,early
spät,late
bald,soon
Familie; die Familie,family
Mutter; die Mutter,mother
Vater; der Vater,father
Eltern; die Eltern,parents
Kind; das Kind,child
Sohn; der Sohn,son
Tochter; die Tochter,daughter
Bruder; der Bruder,brother
Schwester; die Schwester,sister
Geschwister; die Geschwister,siblings
Großmutter; die Großmutter,grandmother
Großvater; der Großvater,grandfather
Großeltern; die Großeltern,grandparents
Oma; die Oma,grandma
Opa; der Opa,grandpa
Onkel; der Onkel,uncle
Tante; die Tante,aunt
Baby; das Baby,baby
Mann; der Mann,man; husband
Frau; die Frau,woman; wife
Freund; der Freund,friend; boyfriend
Freundin; die Freundin,friend; girlfriend
Nachbar; der Nachbar,neighbour
Person; die Person,person
Leute; die Leute,people
Name; der Name,name
Essen; das Essen,food; meal
Brot; das Brot,bread
Brötchen; das Brötchen,bread roll
Butter; die Butter,butter
Käse; der Käse,cheese
Ei; das Ei,egg
Milch; die Milch,milk
Wasser; das Wasser,water
Kaffee; der Kaffee,coffee
Tee; der Tee,tea
Saft; der Saft,juice
Bier; das Bier,beer
Wein; der Wein,wine
Zucker; der Zucker,sugar
Salz; das Salz,salt
Pfeffer; der Pfeffer,pepper
Fleisch; das Fleisch,meat
Fisch; der Fisch,fish
Wurst; die Wurst,sausage
Gemüse; das Gemüse,vegetables
Obst; das Obst,fruit
Apfel; der Apfel,apple
Banane; die Banane,banana
Orange; die Orange,orange (fruit)
Tomate; die Tomate,tomato
Kartoffel; die Kartoffel,potato
Salat; der Salat,salad; lettuce
Reis; der Reis,rice
Nudeln; die Nudeln,pasta; noodles
Suppe; die Suppe,soup
Pizza; die Pizza,pizza
Kuchen; der Kuchen,cake
Schokolade; die Schokolade,chocolate
Eis; das Eis,ice; ice cream
Frühstück; das Frühstück,breakfast
Mittagessen; das Mittagessen,lunch
