German,English
Arbeitsvertrag; der Arbeitsvertrag,employment contract
Arbeitsmarkt; der Arbeitsmarkt,job market; labour market
Belegschaft; die Belegschaft,workforce; staff
Personal; das Personal,staff; personnel
Führungskraft; die Führungskraft,executive; senior manager
Vorgesetzte; der Vorgesetzte,superior; line manager
Vorstand; der Vorstand,board of directors; executive board
Geschäftsleitung; die Geschäftsleitung,company management
Nachfolger; der Nachfolger,successor
Bewerber; der Bewerber,applicant; candidate
Fachkraft; die Fachkraft,skilled worker; specialist
Auszubildende; der Auszubildende,trainee; apprentice
Praktikant; der Praktikant,intern; trainee
Freiberufler; der Freiberufler,freelancer
Unternehmer; der Unternehmer,entrepreneur; businessman
Beschäftigung; die Beschäftigung,employment; occupation
Tätigkeit; die Tätigkeit,activity; job
Zuständigkeit; die Zuständigkeit,responsibility; jurisdiction
Position; die Position,position; post
Beförderung; die Beförderung,promotion; transport
Entlassung; die Entlassung,dismissal; layoff
Abfindung; die Abfindung,severance pay; settlement
Probezeit; die Probezeit,probation period; trial period
Kündigungsfrist; die Kündigungsfrist,period of notice
Betriebsrat; der Betriebsrat,works council
Tarif; der Tarif,rate; tariff; pay scale
Streik; der Streik,strike; walkout
Mindestlohn; der Mindestlohn,minimum wage
Zuschlag; der Zuschlag,surcharge; extra pay
Prämie; die Prämie,bonus; premium
Bezahlung; die Bezahlung,payment; pay
Verdienst; der Verdienst,earnings; income
Gehaltserhöhung; die Gehaltserhöhung,pay rise; raise
Sozialversicherung; die Sozialversicherung,social insurance
Ruhestand; der Ruhestand,retirement
Homeoffice; das Homeoffice,working from home; remote work
Dienstreise; die Dienstreise,business trip
Dienstleistung; die Dienstleistung,service
Dienst; der Dienst,service; duty; shift
Anschreiben; das Anschreiben,cover letter
Berufserfahrung; die Berufserfahrung,professional experience
Laufbahn; die Laufbahn,career path
Nebenjob; der Nebenjob,side job; second job
Mobbing; das Mobbing,bullying; harassment (at work)
Fachkräftemangel; der Fachkräftemangel,shortage of skilled workers
Qualifikation; die Qualifikation,qualification
Kompetenz; die Kompetenz,competence; skill; authority
