English,Definition
a,one; used before singular nouns
a.m.,in the morning (before noon)
about,a little more or less; nearly
above,in a higher place; over
action,something a person does
activity,something you do for fun or work
actor,a person who performs in movies or plays
add,to put one thing together with another
address,the place where someone lives (street and number)
afraid,feeling fear; scared
after,later than; following in time
afternoon,the time from midday until evening
again,one more time
age,how old someone or something is
ago,before now; in the past
agree,to have the same opinion as someone
airplane,a machine with wings that flies
airport,a place where planes take off and land
album,a book for photos; a collection of songs
all,every one; the whole amount
all right,OK; good enough; not hurt
almost,nearly; not quite
alone,with no other people
along,from one end to the other; forward
already,before now; before this time
also,too; as well
always,every time; at all times
am,present form of 'be' with 'I'
an,form of 'a' used before vowel sounds
and,plus; together with (joins words)
angry,feeling mad at someone or something
animal,a living thing that can move (not a plant)
another,one more; a different thing
answer,what you say when someone asks a question
any,some; one or more (no matter which)
anybody,a person (no matter who)
anyone,a person (no matter who)
anything,an object or idea (no matter what)
apple,a round red or green fruit
April,the fourth month of the year
apron,clothing worn over clothes to keep them clean while cooking
are,present form of 'be' with 'you' or 'they'
arm,the body part between shoulder and hand
around,on all sides of; in a circle
arrive,to get to a place
art,paintings and drawings; beautiful things people make
article,a piece of writing in a newspaper or magazine
as,in the role of; like
ask,to put a question to someone
at,in or near (a place or time)
August,the eighth month of the year
aunt,the sister of your mother or father
autumn,the season when leaves fall; fall
awake,not sleeping; with eyes open
away,to another place; not here
baby,a very young child
back,to where something was before
bad,not good; poor or wrong
bag,a soft container for carrying things
ball,a round object used in games
banana,a long yellow fruit
band,a group of people who play music
bank,a place that keeps and lends money
bar,a place that sells drinks; a long piece of metal
baseball,a game where you hit with a bat and run
basketball,a game where teams throw into a high hoop
bat,a stick for hitting a ball; a flying night animal
bath,washing your body in a tub of water
bathroom,the place at home with a toilet
be,to exist; to have a quality or state
beach,the sandy land next to the sea
bean,a small seed eaten as food
bear,a big wild animal with thick fur
beautiful,very pretty; lovely to look at
because,for the reason that
become,to start to be; to change into
bed,furniture you sleep on
bedroom,the place at home where you sleep
bee,a flying insect that makes honey
beef,meat from a cow
before,earlier; at a past time
begin,to start; to take the first step
behind,at or toward the back
believe,to think something is true
bell,a metal object that rings
below,in a lower place; under
beside,next to; close by
best,the greatest; number one of all
better,greater in quality than another thing
between,in the middle of two things
bicycle,a machine with two wheels moved by pedals
big,large; great in size
bike,a two-wheel machine you ride (informal)
bird,an animal with wings and feathers
birth,the moment a baby comes into the world
birthday,the date each year when you become one year older
biscuit,a small flat dry sweet cake; a cookie
black,the darkest color; the color of night
blank,with nothing written on it; empty
block,a hard piece of wood or stone
blow,to push air out of your mouth
blue,the color of the sky
board,a flat piece of wood
boat,a small ship that moves on water
body,all the parts of a person or animal
bone,a hard white part inside your body
book,pages with words that you read
bookstore,a shop that sells things you read
boring,not interesting; dull
borrow,to take something you will give back later
