English,Definition
abandon,to leave someone or something behind forever
able,having the power or skill to do something
abnormal,unusual; strange
aboard,on or into a ship plane or train
aborigine,one of the first people to live in a land
absence,the state of not being present
absent,not present in a place
absolute,complete and total
absolutely,completely; totally
absorb,to take in a liquid or gas slowly
abstract,based on ideas not real objects
abundance,a very large amount of something
abundant,existing in a very large amount
academic,related to school or studying
academy,a school for special training
accent,a way of pronouncing words from a place
acceptance,the act of agreeing to take something
access,a way to enter or use something
accessible,easy to reach or use
accessory,a small extra item worn with clothes
accidental,happening by chance not on purpose
accidentally,by chance; not on purpose
accompany,to go somewhere with someone
accomplish,to finish something successfully
according to,as stated by a particular person or source
accountant,a person whose job is managing money records
accuracy,the quality of being correct or exact
accurate,correct and exact; without mistakes
accurately,in a correct and exact way
accuse,to say someone did something wrong
accustom,to make someone used to something
ache,a dull steady pain in the body
achievement,something done successfully through effort
acknowledge,to admit that something is true
acknowledgment,a statement admitting something is true
acquaintance,a person you know slightly
acquire,to get or obtain something
active,full of energy and movement
actress,a woman who performs in films or plays
ad,a short notice that sells something (informal)
adapt,to change to suit new conditions
addressee,the person a letter is sent to
administration,the work of managing a business or country
admiration,a feeling of respect for someone
admission,permission to enter a place; entrance fee
adopt,to take a child as your own; to begin using a plan
adorable,very sweet and easy to love
advance,to move forward; to make progress
adverb,a word that describes a verb or adjective
adverbial,relating to a word describing a verb
advert,a short notice that sells something (British)
advertise,to tell the public about a product
adviser,a person who gives helpful suggestions
aerobics,exercise done to music for fitness
affect,to cause a change in something
affection,a warm gentle feeling of liking someone
afford,to have enough money to pay for something
afterward,later on; following that
afterwards,later on; following that
agenda,a list of things to discuss at a meeting
aggressive,ready to attack or fight
agreement,a decision reached by two or more people
agricultural,related to farming and growing crops
agriculture,farming and growing crops for food
aid,help given to someone in need
aim,a goal that someone is trying to reach
air conditioning,a machine that cools indoor spaces
air force,the branch of the military that flies planes
airline,a company that flies passenger planes
alcohol,a drink that can make people drunk
alcoholic,containing a substance that can make people drunk
alike,very similar to each other
allergic,having a bad reaction to a certain substance
allowance,an amount of money given regularly
aloud,in a voice that can be heard
alphabet,the set of letters used to write a language
alternative,able to be used instead of another
altogether,completely; in total
amazed,feeling great surprise
amazing,causing great surprise or wonder
ambitious,having a strong desire to succeed
ambulance,a vehicle that carries sick people to hospital
amount,a quantity of something
amusing,causing laughter or enjoyment
analysis,a careful study of something in detail
analyze,to study something carefully in detail
anger,a strong feeling of annoyance
angle,the space between two lines that meet
animated,full of energy; made using moving drawings
animation,a film made from a series of drawings
announce,to tell people about something officially
announcement,an official statement giving people news
annoyance,a feeling of mild anger
annoyed,feeling a little angry
annual,happening once every year
annually,once every year
ant,a small insect that lives in groups
anti,opposed to something (informal)
antique,an old and valuable object
antonym,a word that means the opposite of another
anxiety,a strong feeling of worry or fear
anxiously,in a worried nervous way
anyhow,in any case; regardless
ape,a large animal like a monkey without a tail
apology,a statement saying sorry for a mistake
apparent,easy to see or understand; seeming true
appeal,a quality that attracts people; a request for help
appetite,a desire to eat food
applaud,to clap hands to show approval
applause,clapping to show approval or enjoyment
application,a formal request for a job; a computer program
