English,Definition
exterior,the outside part of something
cloak,a loose coat without sleeves; something that hides or covers
timid,not confident; easily scared
reluctantly,in an unwilling way
concur,to agree with someone
avid,very eager and enthusiastic
marvel,to feel great surprise and admiration
enviable,extremely good and desirable
organizational,relating to how something is structured
psychiatrist,a doctor who treats mental illness
psychiatric,relating to mental illness treatment
clinical,relating to medical treatment of patients
corps,an organized group for a task; military unit
forensic,relating to scientific crime investigation
juvenile,a young person; a child not yet an adult
jurisdiction,official power to make legal decisions
accustomed,used to something through habit
trauma,severe emotional shock
traumatic,causing severe emotional shock
constraint,a rule that limits your actions
revealing,showing more than expected
eccentric,unusual and a bit strange
sanctity,great importance and deep respect
conform,to behave like everyone else
norms,usual accepted ways of behaving
quirk,an unusual habit or feature
oddity,someone or something strange
compel,to force someone to do something
compulsion,a strong urge you can't control
assertion,a confident statement of belief
individuality,qualities that make someone different
psyche,a person's mind and feelings
conformity,behaving like everyone else
unconventional,not following the usual way
congregate,to gather in a large group
resent,to feel angry about something unfair
self-conscious,nervous about how others see you
wary,careful because of possible danger
stoke,to make a feeling stronger; to fuel a fire
dynamically,in an active energetic way
hostess,a woman who welcomes guests
perpetuate,to make something continue endlessly
naturalness,seeming real and not forced
exhibitionist,someone who likes showing off
isolate,to keep someone separate from others
isolated,alone and far from others
refreshingly,in a pleasantly surprising way
effortless,done very easily
vegetation,plants growing in an area
respite,a short rest from difficulty
suffice,to be enough
purity,being completely clean and unmixed
gruelling,very tiring and difficult
comprise,to consist of several parts
plaster,a paste for covering walls; a bandage for small cuts
darkroom,a room for developing photos
induct,to bring someone into a group
induction,a welcoming ceremony for new members
fossil,ancient remains preserved in rock
geological,relating to rocks and earth
geologically,in terms of earth's history
specimen,a sample used for study
enormously,to a very great degree
gem,a precious stone; something highly valued
explanatory,giving details to make clear
vertical,going straight up and down
knowledgeable,having lots of information
ordinarily,in the usual way; normally
formulate,to carefully create a plan
resin,a sticky substance from trees
sacrifice,giving up something valuable
cleanly,in a neat precise way
endorsement,public support for an idea
stretching,exercise that extends your muscles
continuity,having no interruption over time
shambles,a state of total disorder
claustrophobic,feeling trapped in small spaces
claustrophobia,fear of small enclosed spaces
headstrong,determined to do things your way
tact,skill in dealing with people kindly
tactful,careful not to upset others
tactfully,without upsetting or offending others
blister,a painful skin bubble from rubbing
sponsorship,money given to support an event
ego,a person's sense of self-importance
saloon,an old-style bar; a four-door car
beforehand,before something happens
slob,a lazy untidy person
coverage,news reporting of an event; insurance protection
unplug,to disconnect a device from power
gadget,a small useful device
rediscover,to find something again
subtly,so slightly it's hard to notice
brainwash,to force beliefs through repetition
brainwashing,forcing beliefs through repeated pressure
implicate,to show involvement in wrongdoing
malfunction,to stop working correctly
wayside,the side of a road
expire,to no longer be valid
con,to trick someone for money
damply,in a slightly wet way
ghostly,pale and eerie like a spirit
carrier,a thing that transports something
washtub,a large container for cleaning clothes
apt,well suited for something; likely to do something
apt to,to be likely to do something
portable,easy to carry around
ornamental,made to look attractive not useful
placid,calm and peaceful
placidly,in a calm peaceful way
unmanageable,too difficult to control
appliance,a home machine for a task
relinquish,to give up something willingly
tedious,boring and lasting too long
tedium,boredom from a dull task
exert,to use effort or force
extortion,getting money through threats
alleviate,to make a problem less severe
elaborate,having many detailed complex parts
elaboration,extra detail to explain something
detest,to hate something strongly
detestable,deserving to be hated
suds,bubbles from soap and water
agreeable,pleasant and easy to deal with
prowl,to move quietly like a hunter
speculate,to guess without proof
speculation,a guess without solid proof
speculative,based on guessing not facts
peacock,a large bird with colorful feathers
disdain,a feeling of no respect
reenact,to perform a past event again
torment,to cause great pain or suffering
extravagance,spending far more than necessary
exploitation,unfair use of someone
mechanism,a part of a machine; a way to do something
hence,for this reason
offspring,a person's or animal's children
oblige,to force by duty; to do a favor
collaborate,to work with others
collaborator,a person who works with others
collaboration,working together with others
collaborative,done by working with others
showy,too bright and attracting attention
wrangle,to argue loudly for a while
premise,a basic idea behind an argument
advantageous,giving a helpful edge
parasite,a creature that harms its host
fanciful,not realistic; very imaginative
poise,calm graceful control of yourself
customary,usual because it's traditional
insightful,showing deep understanding; wise and clear-thinking
notable,worth noticing; important or famous
vicious,cruel and violent
viciously,in a cruel and violent way
withdrawn,quiet and avoiding other people
torturous,extremely painful or slow and difficult
depict,to show something in a picture or story
depiction,a picture or description of something
upheaval,a sudden big change or disorder
shortlist,to choose a small group of finalists
uneventful,with nothing exciting happening
pertinent,closely connected to the topic
pertain to,to be related to something
daydream,pleasant thoughts that take your mind off the present
protagonist,the main character in a story
simplicity,the quality of being easy to understand
blockbuster,a very successful movie or book
resonate,to feel true and meaningful to someone
sequel,a book or film that continues an earlier story
irony,a situation that turns out opposite to what was expected
acidic,having a sharp sour taste; sour like vinegar
align,to arrange in a straight line; to match or agree
alignment,the state of being arranged correctly together
manipulation,unfair control of someone or something
suitor,a man who wants to marry a woman
deceit,the act of lying to trick someone
alienate,to make someone feel unwelcome or distant
persuasively,in a way that makes people believe something
confinement,the state of being kept in a small space
minutiae,small unimportant details
peasant,a poor farmer in the past
inexplicable,impossible to explain or understand
inexplicably,in a way that cannot be explained
pigeon,a common gray bird found in cities
harass,to bother or annoy someone repeatedly
harassment,repeated unwanted behavior that upsets someone
believably,in a convincing way; realistically
readable,easy to follow and enjoyable
cleverness,the ability to think quickly and well
persecute,to treat someone cruelly because of who they are
persecution,cruel treatment because of race or belief
smug,too pleased with oneself
