English,Definition
abolish,to end a law or system officially
absorb,to take in a liquid or gas; to take in and make part of something bigger
absorption,the taking in of a liquid gas or heat; the taking of a group into a bigger one
accelerate,to go faster; to make something happen sooner
acceptance,agreement to take or allow something; general approval of an idea
accessible,easy to reach or use; easy to understand
accommodate,to provide room for someone; to change plans to help someone
accomplishment,something done well after effort; a skill gained by training
accordance,the fact of following exactly what a rule or an agreement says
accordingly,in a way that fits the situation; as a result
accountability,the duty to explain your actions and take responsibility
accountable,required to explain your actions and take the blame
accountant,a person whose job is keeping and checking financial records
accrual,a gradual build-up of money owed or earned over time
accrue,to grow in amount over time; to build up as interest or debt
accumulate,to collect more and more of something over time
accumulation,a growing amount collected over time
accuracy,the quality of being exactly right and free from mistakes
accurately,in a way that is exactly right and without mistakes
accusation,a claim that someone has done something wrong
acid,a chemical that can burn or dissolve things; sour in taste
acre,a unit of land area of about 4047 square meters
actively,in an energetic way; by taking part rather than watching
activist,a person who works hard for political or social change
adequately,well enough for what is needed
adhere,to stick firmly to a surface; to follow a rule closely
administer,to manage a company or system; to give out medicine or aid
administrative,relating to the running and paperwork of an organization
administrator,a person who manages the daily work of an organization
admission,the right to enter a place; a statement that something bad is true
adoption,the start of using a new idea or method; legally taking a child as your own
adverse,harmful or unfavorable; going against what you want
advertiser,a company that pays to promote its products in public
advisor,a person who gives expert help and opinions
advisory,giving expert opinions rather than orders; a public warning notice
affiliate,a smaller company linked to or owned by a larger one
affordable,cheap enough for most people to buy
afterward,at a later time; once something else has finished
aggregate,a total formed by adding separate parts; taken together as one whole
agriculture,the work of growing crops and raising animals
airport,a place where planes take off and land
alas,a word showing sadness or regret about bad news
albeit,although; even though something is true
alert,quick to notice and ready to act; a warning signal
algorithm,a set of steps a computer follows to solve a problem
align,to put things in a straight line; to make plans or ideas agree
alike,very similar; in the same way for everyone
allegation,a claim that someone has done wrong that is not proved yet
allegedly,as people claim but without proof so far
alliance,an agreement between groups or countries to work together
allocate,to give out money or time for a particular purpose
allocation,an amount of money or time given for a set purpose
allowance,money given regularly for a set purpose; an amount you may take or use
alpha,the first letter of Greek writing; a very early test version of software
aluminum,a light silver-colored metal used in cans and planes
ambassador,a top official sent to live and work in a foreign country
ambition,a strong wish to succeed or achieve something big
ambitious,having a strong wish to succeed; needing great effort to do
amend,to make small changes to a text or law to improve it
amid,in the middle of; while something else is happening
amongst,in the middle of a group; shared between several people
amortization,the spreading of a debt or a cost into small regular payments over years
amortize,to pay off a debt gradually by regular equal payments
analytic,using careful logical study to understand something
analytical,good at examining facts in a careful logical way
anniversary,a date each year when you remember something that happened before
annualize,to work out a rate as if it lasted a full year
annually,once a year
annuity,a fixed sum of money paid to someone each year
anti,against; opposed to something
antitrust,aimed at stopping firms from unfairly controlling a market
appetite,a wish to eat; a strong desire for something such as risk
apple,a round firm fruit with red or green skin
appliance,a machine used in the home such as a fridge or washer
applicable,able to be used in a situation; relevant to a case
applicant,a person who asks formally for a job or a place
appraisal,a judgment of how good or how valuable something is
appreciation,a rise in value over time; thanks felt for something good
appropriately,in a way that is right for the situation
approximate,almost exact but not completely correct
approximation,a figure close to the real one but not exact
arbitrage,buying in one market and selling in another for quick profit
arbitrary,chosen by chance or personal wish rather than by reason
arbitration,settling a dispute by letting a neutral outsider decide
architect,a person who designs buildings; the planner of a big system
archive,a store of old records kept for future use
arguably,as can reasonably be claimed; quite possibly
array,a large ordered group of things; a wide range of choices
artificial,made by people rather than found in nature; not real
aspect,one part or side of a situation or idea
assault,a violent physical attack on someone
assemble,to put parts together to build something; to gather in one place
assembly,the putting together of parts; a large official meeting
assert,to say firmly that something is true; to claim a right strongly
assertion,a firm statement that something is true
assignment,a task given to someone; a piece of work set for study
assurance,a promise that something is true or will happen; confidence
asylum,protection given by a country to someone fleeing danger
atom,the smallest part of a chemical element
attain,to reach a goal or level after effort
attorney,a lawyer; a person allowed to act for another in legal matters
attributable,able to be seen as caused by a person or thing
auction,a public sale where the highest offer wins the goods
audio,relating to sound that is recorded or broadcast
audit,an official check of the financial records of a firm
auditor,a person whose job is officially checking financial records
authority,the power to give orders; an official body that controls something
authorization,official permission to do something
authorize,to give official permission for something
auto,a car; done by machine without a person
automate,to make a job run by machines instead of people
automatic,working by itself without a person controlling it
automobile,a road vehicle with an engine for carrying a few people
autonomous,able to work or govern itself without outside control
autonomy,the freedom to govern or decide for yourself
availability,how easy something is to get or use; being free at a time
averse,strongly disliking something; unwilling to accept it
aversion,a strong dislike of something
aviation,the flying and building of aircraft as an industry
await,to expect something and stay ready until it comes
awkward,difficult to handle; causing embarrassment or unease
axis,a line around which something turns; a reference line on a graph
backward,towards the rear or the past; slow to develop
bail,money paid so an accused person can leave jail until trial
ballot,a secret vote; the paper used for voting
banker,a person with a senior job handling money at a financial firm
bankrupt,unable to pay what you owe and officially declared so
bankruptcy,the legal state of not being able to pay your debts
bargain,something bought very cheaply; to argue over a price
barrel,a large round container for liquid; a unit for measuring oil
baseball,an American team sport in which a batter hits and then runs
baseline,a starting level used to compare later results
basket,a container made of woven strips; a set of things taken together
batch,a group of things made or handled at the same time
battery,a device that stores power for a phone or a car
beam,a line of light; a heavy bar that holds up a roof
beef,meat from a cow
behalf,the interest of another person; used when you act in place of them
behavioral,relating to how people or animals act
benchmark,a standard used for judging how good something is
beneficial,having a good effect; helpful and useful
beneficiary,a person who gains money or help from something
beta,a test version before final release; the second Greek letter
beverage,a drink of any kind
bidder,a person who offers a price at a sale
bilateral,involving two sides or two countries
biography,the story of a person's life written by someone else
bitter,having a sharp unpleasant taste; feeling angry and hurt
blank,with nothing written on it; an empty space to fill in
blast,a sudden loud explosion; a strong rush of air
blend,to mix things so they become one; a mixture of types
boast,to talk with too much pride about yourself; to have a good feature to show
bold,brave and confident; thick and easy to see in print
bolster,to make something stronger or give it support
bomber,a plane that drops explosives; a person who sets off explosives
bondholder,a person who owns loan certificates issued by a firm or a state
bonus,extra money paid for good work; a pleasant extra thing
borrower,a person who takes money and must pay it back later
bounce,to spring up after hitting a surface; to be refused by a bank
bound,certain to happen; tied or limited by rules
boycott,to refuse to buy from or deal with a firm as a protest
bracket,a range of incomes or ages grouped together; a mark used in pairs in writing
brave,ready to face danger or pain without fear
breach,the breaking of a rule or agreement; a gap made in a wall
breakdown,a failure of a machine; a detailed list of separate parts
breakthrough,an important discovery that solves a long-standing problem
bribe,money given secretly to make someone act dishonestly
brick,a hard block of baked clay used for building
broadband,a fast always-on internet connection
broaden,to make something wider or cover more topics
broadly,in a general way; over a wide range
brochure,a small book with pictures giving details of a product
broker,a person who buys and sells for others for a fee
brokerage,a firm that trades shares for clients; the fee such a firm charges
browser,a program used to look at pages on the internet
brutal,very cruel and violent; harsh and very direct
bubble,a ball of air in liquid; a time when prices rise too high
buffer,something that softens a shock; a spare store kept for safety
bug,a fault in a computer program; a small insect
builder,a person whose job is putting up houses and other structures
bulk,a large amount or quantity; the main part of something
bull,an adult male of the cow family; a market where prices keep rising
bullet,a small piece of metal fired from a gun; a dot before a list item
bully,a person who frightens or hurts weaker people
bundle,a group of things sold or tied together
bureaucracy,a system of many official rules and slow paperwork
bureaucrat,an official who works in a government department
bureaucratic,having too many official rules and slow procedures
businessman,a man who works at a senior level in trade or industry
bust,a sudden business failure; a period of sharp economic fall
buyout,the purchase of a whole company or of someone's share in it
cabinet,a group of top government ministers; a cupboard with shelves
calculation,the working out of an answer using numbers
calculator,a small machine for working out sums
calendar,a chart of the days and months of a year
campus,the land and buildings of a university or large company
cancellation,the ending of a planned event or order before it happens
capita,for each person; used in giving averages for a population
capitalism,an economic system where private owners run trade for profit
capitalist,a person who owns or invests money in business; based on private ownership
capitalization,the total market value of the shares of a company
capitalize,to use a chance for gain; to write with a big first letter
captain,the leader of a ship or a team
cargo,goods carried by ship plane or truck
carmaker,a company that builds motor vehicles
carrier,a firm that moves goods or people; a person passing on a disease
cartel,a group of firms that agree to fix prices together
casino,a place where people play games for money
casual,relaxed and not formal; not regular or permanent
casualty,a person hurt or killed in an accident or a war
catastrophe,a sudden event causing great damage and suffering
cater,to supply food for an event; to give people what they need
cattle,cows and bulls kept on a farm for milk or meat
caution,great care taken to avoid danger; a spoken warning
cautious,taking great care to avoid risk or mistakes
cease,to stop happening; to stop doing something
ceasefire,an agreement between armies to stop shooting for a time
ceiling,the top surface inside a room; an upper limit on a number
celebrity,a famous person; the state of being widely known
census,an official count of all the people in a country
centralize,to bring control together into one main place
certainty,the state of being completely sure; a thing sure to happen
certificate,an official paper proving a fact or an achievement
certification,official proof that a person or product meets a standard
certify,to state officially in writing that something is true
chancellor,the head of a government finance department; a university head
chaos,a state of complete disorder and confusion
charitable,giving help to poor people; kind in judging others
charter,an official paper setting out rights or aims; a hired plane or boat
cheaply,at a low cost; without spending much money
cheat,to act dishonestly in order to win or gain something
cheer,to shout loudly to show support; to make someone feel happier
cheque,a printed form used to pay money from your bank account
chunk,a thick solid piece; a large amount of something
cinema,a building where films are shown; the film industry
circuit,a closed path for electricity; a route that returns to the start
circulate,to move around a system; to pass news to many people
circulation,the flow of blood around the body; the number of copies of a paper sold
citation,a mention of a source in writing; an official award or notice
citizenship,the legal status of belonging to a country and its duties
clarify,to make something easier to understand by giving more detail
clarity,the quality of being easy to understand or to see through
clash,a sharp fight or disagreement between two sides
classification,the sorting of things into groups by type
classify,to sort things into groups by their type
classroom,a space in a school where a teacher gives lessons
cleaner,a person paid to tidy rooms; a liquid used to remove dirt
cleric,a religious leader such as a priest or an imam
clever,quick to learn and understand; skillfully made
client,a person or firm that pays for a service
clinic,a place where people go for medical treatment
clip,a short part of a film; a small object for holding papers
clone,an exact copy of a living thing or of a product
closure,the permanent shutting of a business or road; a sense of ending
clout,power to influence people or decisions; a heavy blow
clue,a piece of information that helps solve a problem
coalition,a group of parties or firms joined for a shared aim
coefficient,a number that multiplies another value in a formula
cognitive,relating to thinking learning and understanding
coincide,to happen at the same time; to be the same or agree
collaboration,the act of working together on a shared task
collar,the part of a shirt that fits around the neck
collateral,property promised to a lender in case a loan is not repaid
collective,shared by all members of a group; done by everyone together
collectively,as a group rather than one by one
colonial,relating to a country ruled by a distant foreign power
combat,fighting between armed forces; to try hard to stop something bad
commander,an officer in charge of a military group
commence,to begin or start something
commentator,a person who describes an event live or gives opinions on it
commerce,the buying and selling of goods on a large scale
commissioner,a senior official in charge of a public department
commodity,a raw material such as oil or wheat that is traded
commonly,often; in most cases
communism,a system where the state owns all property and industry
communist,supporting state ownership of all property and industry
comparable,similar enough to be judged side by side
comparative,judged by looking at the differences between two things
compatible,able to work well together; able to exist side by side
compel,to force someone to do something
compensate,to pay someone for loss or harm; to make up for a weakness
competence,the skill and ability needed to do a job well
competency,a particular skill or ability needed for a job
competent,having enough skill to do a job properly
competitiveness,the ability to do better than rivals in a market
compile,to gather information and put it into a list or report
complement,to go well with something else and make it better
completion,the finishing of a job or process
compliance,the act of obeying a rule or an official order
comply,to obey a rule order or request
composite,made of several different parts joined together
compulsory,required by law or by rules; not a matter of choice
computation,the working out of a result by a set method or by machine
computerize,to change a system so that machines do the work
con,to trick someone to get their money; a reason against something
conceal,to hide something so that others cannot see it
concede,to admit that something is true; to give up a point in an argument
conceptual,relating to ideas and general principles
concession,something given up to end a dispute; a right to sell in a place
condemn,to say strongly that something is very wrong; to sentence to punishment
conditional,true or valid only if something else happens first
confer,to discuss something with others; to give an honor or right
confidential,meant to be kept secret; not to be shared with others
configuration,the way the parts of something are arranged
confine,to keep within limits; to keep someone in a closed space
confirmation,proof or a statement that something is true or will happen
conform,to behave in the way that rules or other people expect
confront,to face a problem or person directly and deal with them
confrontation,an angry meeting or fight between opposing sides
conglomerate,a large company made up of many different businesses
congressional,relating to the law-making body of the United States
