English,Definition
abdominal,relating to the belly area of the body
absorb,to take in a liquid or gas; to take in knowledge or ideas
absorption,the taking in of a liquid or gas by a material
accelerate,to go faster; to make something happen sooner
acceleration,the rate at which speed increases
accent,the way people from a place sound when speaking; a mark above a letter
accumulate,to slowly gather more and more of something
accumulation,a slow build-up of more and more of something
accuracy,how correct or exact something is
accurately,in a correct and exact way
acid,a chemical with a sour taste that can burn the skin
acidic,sour in taste; able to eat away metal or stone
activate,to make something start working
actively,with real effort and involvement; in an energetic way
acute,very serious or severe; starting suddenly and not lasting long
adaptation,a change that helps something fit new conditions
adaptive,able to change to fit new conditions
adjacent,next to or beside something
admission,being allowed to enter a place or group; saying that something is true
adolescent,a young person between child and adult
adverse,harmful; going against what you want
aerosol,a cloud of tiny drops or bits floating in the air; a spray can
aesthetic,relating to beauty and how things look
affirm,to state firmly that something is true
afterward,later; at a time following an event
aggregate,a total formed by adding parts together
agriculture,the work of growing crops and raising animals
airplane,a flying machine with wings and engines
algebra,the part of math that uses letters to stand for numbers
algorithm,a set of steps a computer follows to solve a problem
alien,a creature from another planet; strange and unfamiliar
alliance,an agreement between groups to work together
allocate,to give out money or resources for a purpose
allocation,an amount of money or resources given for a purpose
altitude,the height of something above sea level
aluminum,a light silver-colored metal used in cans and planes
amino,relating to the basic chemical units that build proteins
amongst,in the middle of; surrounded by
amplitude,the size or strength of a wave
analogy,a comparison showing how two things are alike
ancestor,a family member who lived long ago
anthropology,the study of human societies and their customs
anti,against; opposed to
antibiotic,a medicine that kills harmful germs
antibody,a substance the blood makes to fight disease
antiquity,very ancient times; something very old
appendix,extra pages at the end of a book; a small tube in the gut
applause,the sound of people clapping to show they liked something
apple,a round firm fruit with red or green skin
approximate,close to exact but not perfect
approximation,a value close to the real one but not exact
arbitrary,chosen by chance or personal whim with no clear reason
archaeology,the study of the past through objects dug from the ground
architect,a person who designs buildings
array,a large group of things set out in order
arrow,a thin stick shot from a bow; a sign that points a way
articulate,to say thoughts clearly in words; good at expressing ideas
artifact,an old object made by people and studied by experts
artificial,made by people rather than by nature
artistic,showing skill and imagination in painting music or writing
artwork,a painting drawing or other created piece for people to look at
aspect,one part or side of a situation or idea
assembly,a large group meeting together; the joining of parts to build a thing
assert,to state something firmly and with confidence
assignment,a piece of work given to a student or worker
athletic,physically strong and good at sport
atom,the smallest unit of a chemical element
atomic,relating to the smallest units of matter; using nuclear energy
auction,a sale where goods go to the person offering the most money
audio,relating to sound or its recording
audit,an official check of the accounts of a company
authority,the power to give orders; an official body in charge
autonomy,the freedom to make your own decisions
availability,the fact that something can be got or used when needed
axiom,a basic rule accepted as true without proof
axis,a line that something turns around; a measuring line on a graph
backward,toward the back; slow to develop
bacteria,tiny living things that can cause disease
bacterial,caused by or relating to tiny living germs
bang,a sudden loud noise; to hit something hard and noisily
bargain,something bought cheaply; to argue over a price
barrel,a large round container for liquids
basin,a bowl for water; a large area of land drained by a river
bat,a small flying animal active at night; a stick for hitting a ball
beam,a long thick bar of wood or metal; a line of light
behavioral,relating to how people or animals act
bilingual,able to speak two languages well
binary,using only two parts or values such as 0 and 1
biodiversity,the range of different plants and animals in a place
biologist,a scientist who studies living things
biology,the science of living things
bizarre,very strange and hard to explain
blank,empty with nothing written on it
bleed,to lose blood from the body
bodily,relating to the physical form of a person or animal
bonus,extra money paid on top of normal pay
bound,certain to happen; tied up or fastened
bracket,a mark used around extra words; a group inside a set range
breakdown,a failure of a machine or system; a detailed list of parts
broadly,in a general way; widely
bubble,a ball of air inside a liquid
bucket,an open container with a handle for carrying water
bulk,the main or largest part; a large amount at once
bullet,a small piece of metal shot from a gun
bundle,a group of things tied or held together
calcium,a mineral needed for strong bones and teeth
calculation,the working out of an answer using numbers
calculator,a small machine used for working out math problems
calculus,an advanced branch of math dealing with change and rates
campus,the grounds and buildings of a university
capillary,a very thin blood tube in the body
capitalism,an economic system where private owners run business for profit
capitalist,a person who owns business wealth; favoring private ownership
carrier,a person or thing that moves goods; someone who passes on a disease
cattle,cows and bulls kept on a farm
censor,to remove parts of a book or film thought unsuitable
characterization,the way a writer shows what a person in a story is like
cheat,to act dishonestly to win or gain something
cheer,to shout happily in support of someone
chemistry,the science of substances and how they react together
chemotherapy,treatment of cancer using strong drugs
chess,a board game for two players with kings and pawns
chloride,a salt-forming chemical found in ordinary table salt
chromosome,a thread inside a cell that carries genes
chronic,lasting a long time and hard to cure
chunk,a thick solid piece of something
cinema,a building where films are shown; the art of making films
circa,about; used before a date that is not exact
circulate,to move around a closed system; to pass from person to person
circulation,the movement of blood around the body; copies of a paper sold
civilization,an advanced society with cities and organized ways of life
clarify,to make something easier to understand
classification,the sorting of things into groups by type
classify,to sort things into groups by type
classroom,a room in a school where lessons are taught
clay,heavy sticky earth used to make pots and bricks
clever,quick to learn and understand
client,a person who pays for the services of a business
clinic,a place where people go for medical treatment
clip,a small object for holding papers together; a short piece of film
clone,an exact copy of a living thing or of a file
closure,the permanent shutting of a place; a feeling that something has ended
clue,a piece of information that helps solve a puzzle
coefficient,a number placed before a letter in math to multiply it
cognitive,relating to thinking learning and understanding
coherent,clear and logical with parts that fit well together
collective,shared by all members of a group
colonial,relating to a land ruled by a distant foreign power
colony,an area ruled by a distant country; a group of animals living together
comma,a punctuation mark used to separate parts of a sentence
commentary,a spoken description of an event as it happens; written remarks
commodity,a raw material or product that is bought and sold
commonly,often; by most people or in most cases
communicative,willing and able to talk and share information
communist,supporting a system where the state owns all property
compact,small and neatly fitted into a little space
comparable,similar enough to be judged side by side
comparative,judged by setting two or more things side by side
compensate,to pay someone for loss or harm; to make up for a weakness
competence,the skill and ability to do something well
competent,having enough skill to do a job well
complement,something added that makes another thing whole or better
complication,a problem that makes a situation harder
comply,to obey a rule or request
composer,a person who writes music
composite,made up of several different parts joined together
