French,English
gouvernement; le gouvernement,government
état; l'état; un état,state
nation; la nation,nation
peuple; le peuple,people (of a country)
politique; la politique,politics; policy
président; le président,president
ministre; le ministre,minister
élection; l'élection; une élection,election
vote; le vote,vote
loi; la loi,law
justice; la justice,justice
tribunal; le tribunal,court (of law)
juge; le juge,judge
crime; le crime,crime
prison; la prison,prison
police; la police,police
guerre; la guerre,war
paix; la paix,peace
armée; l'armée; une armée,army
soldat; le soldat,soldier
arme; l'arme; une arme,weapon
autorité; l'autorité; une autorité,authority
égalité; l'égalité; une égalité,equality
démocratie; la démocratie,democracy
parti; le parti,party (political)
manifestation; la manifestation,demonstration; protest
drapeau; le drapeau,flag
roi; le roi,king
reine; la reine,queen
puissance; la puissance,power
république; la république,republic
discours; le discours,speech
débat; le débat,debate
accord; l'accord; un accord,agreement
conflit; le conflit,conflict
crise; la crise,crisis
réforme; la réforme,reform
mouvement; le mouvement,movement
syndicat; le syndicat,labor union
nationalité; la nationalité,nationality
immigration; l'immigration; une immigration,immigration
victime; la victime,victim
témoin; le témoin,witness
preuve; la preuve,proof; evidence
enquête; l'enquête; une enquête,investigation; survey
procès; le procès,trial
peine; la peine,sentence (jail); sorrow
règlement; le règlement,regulation; rules
budget; le budget,budget
réfugié; le réfugié,refugee
industrie; l'industrie; une industrie,industry
commerce; le commerce,trade; business
usine; l'usine; une usine,factory
bourse; la bourse,stock market; scholarship
investissement; l'investissement; un investissement,investment
bénéfice; le bénéfice,profit
perte; la perte,loss
dette; la dette,debt
richesse; la richesse,wealth
pauvreté; la pauvreté,poverty
fortune; la fortune,fortune
capital; le capital,capital (money)
revenu; le revenu,income
augmentation; l'augmentation; une augmentation,increase; pay rise
entretien; l'entretien; un entretien,interview; maintenance
candidat; le candidat,candidate; applicant
candidature; la candidature,application (job)
fonction; la fonction,role; function
responsabilité; la responsabilité,responsibility
réussite; la réussite,success; achievement
concurrence; la concurrence,competition
concurrent; le concurrent,competitor
gestion; la gestion,management
personnel; le personnel,staff
chef; le chef,boss; chef; leader
média; le média,medium; media outlet
reportage; le reportage,news report
article; l'article; un article,article
titre; le titre,title; headline
abonnement; l'abonnement; un abonnement,subscription
interview; l'interview; une interview,interview
annonce; l'annonce; une annonce,ad; announcement
affiche; l'affiche; une affiche,poster
rumeur; la rumeur,rumor
sondage; le sondage,poll; survey
opinion; l'opinion; une opinion,opinion
déclaration; la déclaration,statement; declaration
commentaire; le commentaire,comment
critique; la critique,criticism; review
expression; l'expression; une expression,expression
communication; la communication,communication
dialogue; le dialogue,dialogue
conversation; la conversation,conversation
discussion; la discussion,discussion
bruit; le bruit,noise
technologie; la technologie,technology
invention; l'invention; une invention,invention
découverte; la découverte,discovery
machine; la machine,machine
moteur; le moteur,engine; motor
robot; le robot,robot
donnée; la donnée,piece of data
connexion; la connexion,connection
système; le système,system
programme; le programme,program
batterie; la batterie,battery
signal; le signal,signal
version; la version,version
panne; la panne,breakdown
caméra; la caméra,camera
enregistrement; l'enregistrement; un enregistrement,recording
laboratoire; le laboratoire,laboratory
électricité; l'électricité; une électricité,electricity
gaz; le gaz,gas
pétrole; le pétrole,oil (petroleum)
carburant; le carburant,fuel
centrale; la centrale,power plant
déchet; le déchet,waste
recyclage; le recyclage,recycling
développement; le développement,development
études; les études,studies
formation; la formation,training
conférence; la conférence,lecture; conference
élève; l'élève; un élève,pupil
inscription; l'inscription; une inscription,enrollment; registration
bulletin; le bulletin,report card; bulletin
concours; le concours,competitive exam; contest
mémoire; la mémoire,memory (faculty)
concentration; la concentration,concentration
intelligence; l'intelligence; une intelligence,intelligence
imagination; l'imagination; une imagination,imagination
curiosité; la curiosité,curiosity
raisonnement; le raisonnement,reasoning
hypothèse; l'hypothèse; une hypothèse,hypothesis
théorie; la théorie,theory
concept; le concept,concept
notion; la notion,notion; basic grasp
principe; le principe,principle
méthode; la méthode,method
analyse; l'analyse; une analyse,analysis
définition; la définition,definition
explication; l'explication; une explication,explanation
description; la description,description
remarque; la remarque,remark
observation; l'observation; une observation,observation
conclusion; la conclusion,conclusion
résumé; le résumé,summary
compréhension; la compréhension,understanding
sujet; le sujet,subject; topic
thème; le thème,theme; topic
apprentissage; l'apprentissage; un apprentissage,learning
enseignement; l'enseignement; un enseignement,teaching; education
manuel; le manuel,textbook
dictionnaire; le dictionnaire,dictionary
vocabulaire; le vocabulaire,vocabulary
grammaire; la grammaire,grammar
orthographe; l'orthographe; une orthographe,spelling
accent; l'accent; un accent,accent
paragraphe; le paragraphe,paragraph
chapitre; le chapitre,chapter
angoisse; l'angoisse; une angoisse,anxiety
souffrance; la souffrance,suffering
plainte; la plainte,complaint
déception; la déception,disappointment
regret; le regret,regret
soulagement; le soulagement,relief
satisfaction; la satisfaction,satisfaction
enthousiasme; l'enthousiasme; un enthousiasme,enthusiasm
motivation; la motivation,motivation
volonté; la volonté,will; willpower
patience; la patience,patience
jalousie; la jalousie,jealousy
haine; la haine,hatred
tendresse; la tendresse,tenderness
réaction; la réaction,reaction
sensation; la sensation,sensation; feeling
impression; l'impression; une impression,impression
souci; le souci,worry; concern
crainte; la crainte,fear
doute; le doute,doubt
certitude; la certitude,certainty
personnalité; la personnalité,personality
défaut; le défaut,flaw; fault
habitude; l'habitude; une habitude,habit
humour; l'humour; un humour,humor
mérite; le mérite,merit
respect; le respect,respect
politesse; la politesse,politeness
gentillesse; la gentillesse,kindness
générosité; la générosité,generosity
clinique; la clinique,clinic
cabinet; le cabinet,doctor's office; practice
consultation; la consultation,consultation
diagnostic; le diagnostic,diagnosis
guérison; la guérison,recovery
respiration; la respiration,breathing
souffle; le souffle,breath
cerveau; le cerveau,brain
poumon; le poumon,lung
estomac; l'estomac; un estomac,stomach
foie; le foie,liver
nerf; le nerf,nerve
cheville; la cheville,ankle
poignet; le poignet,wrist
