Korean,English
가게,store; shop
가깝다,to be close; to be near
가끔,sometimes; occasionally
가다,to go
가르치다,to teach
가방,bag
가볍다,to be light (weight)
가수,singer
가슴,chest; breast
가운데,middle; center
가을,autumn; fall
가장,most; the most
가져오다,to bring
가족,family
가지다,to have; to hold
간호사,nurse
갈비,galbi; ribs
감기,a cold (illness)
감사,thanks; gratitude
감사하다,to thank; to be grateful
갑자기,suddenly
값,price; cost
강,river
같다,to be the same; to be like
같이,together; with
개,dog; (counter) item
개월,(counter) months
거,thing (colloquial)
거기,there; that place
거리,street; road
거울,mirror
걱정,worry; concern
걱정하다,to worry
건강,health
건강하다,to be healthy
건물,building
걷다,to walk
걸다,to hang; to make (a call)
걸어가다,to walk (somewhere); to go on foot
걸어오다,to walk (here); to come on foot
검은색,black (color)
것,thing
게임,game
겨울,winter
결혼,marriage
결혼식,wedding; wedding ceremony
결혼하다,to marry; to get married
경복궁,Gyeongbokgung (palace)
경주,Gyeongju (city)
경찰,police
경찰관,police officer
경찰서,police station
경치,scenery; view
계란,egg
계속,continuously; continually
계시다,to be (honorific); to stay (honorific)
계절,season
계획,plan
고기,meat
고등학교,high school
고등학생,high school student
고맙다,to be thankful; to be grateful
고양이,cat
고프다,to be hungry
고향,hometown
곧,soon; right away
곳,place
공,ball
공부,study; studying
공부하다,to study
공원,park
공중전화,public phone; payphone
공책,notebook
공항,airport
공휴일,public holiday
과,department; lesson
과일,fruit
과자,snack; cookie; sweets
괜찮다,to be okay; to be fine
교과서,textbook
교수,professor
교실,classroom
교통,traffic; transportation
교회,church
구,nine
구경,sightseeing; watching
구두,dress shoes; shoes
구름,cloud
구십,ninety
구월,September
군인,soldier
권,(counter) books; volume
귀,ear
그,that; he; um (hesitation filler)
그거,that (thing)
그것,that thing; that
그곳,that place; there
그날,that day
그동안,meanwhile; during that time
그때,that time; then
그래,yes; okay; sure; so (in that way)
그래서,so; therefore
그러나,however; but
그러니까,so; that is why
그러면,then; if so
그런데,but; by the way
그럼,then; of course
그렇다,to be so; to be like that
그렇지만,but; however
그릇,bowl; dish
그리고,and; and then
그리다,to draw; to paint
그림,picture; drawing; painting
그분,that person (honorific)
그쪽,that side; that way
극장,theater; cinema
근처,vicinity; nearby area
금요일,Friday
급,level; grade; rank
기다리다,to wait
기분,mood; feeling
기숙사,dormitory; dorm
기차,train
길,road; way; street
길다,to be long
김밥,gimbap (seaweed rice roll)
김치,kimchi
깎다,to peel; to cut (price or hair)
깨끗하다,to be clean
꼭,surely; certainly; without fail
꽃,flower
꿈,dream
끄다,to turn off; to extinguish
끝,end
끝나다,to end; to be over
끝내다,to finish; to complete
나,I; me
나가다,to go out; to exit
나다,to grow; to occur; to break out
나라,country; nation
나무,tree; wood
나쁘다,to be bad
나오다,to come out
나이,age
나중,later; afterwards
날,day
날다,to fly
날씨,weather
날짜,date (calendar)
남녀,men and women
남대문,Namdaemun Gate
남대문시장,Namdaemun Market
남동생,younger brother
남자,man; male
남쪽,south; southern side
남편,husband
남학생,male student
낮,daytime; day
낮다,to be low
내년,next year
내다,to pay; to submit; to produce
내려가다,to go down
내려오다,to come down
내리다,to fall (rain); to get off; to lower
내일,tomorrow
냉면,naengmyeon (cold noodles)
냉장고,refrigerator; fridge
너,you (informal)
너무,too; too much; very
넓다,to be wide; to be spacious
