Korean,English
가격,price
가구,furniture
가까워지다,to get closer; to become close
가까이,close; nearby; near
가꾸다,to grow (plants); to tend; to cultivate
가난하다,to be poor
가늘다,to be thin; to be slender
가능성,possibility
가능하다,to be possible
가득,fully; to the brim
가득하다,to be full (of)
가로,width; horizontal
가루,powder; flour
가리다,to cover; to block; to distinguish
가리키다,to point at; to indicate
가만히,still; quietly
가스,gas
가슴속,one's heart; deep inside
가요,pop song; popular song
가위,scissors
가이드,guide
가정,home; family; household
가져가다,to take (along); to carry away
가져다주다,to bring (to someone)
가죽,leather; hide
가지,branch; kind (counter); sort
가짜,fake; counterfeit
각,each; every
각각,each; respectively
각국,each country; every nation
각자,each person; individually
각종,all kinds of; various kinds
간,between; interval (between)
간단하다,to be simple; to be brief
간단히,simply; briefly
간식,snack
간장,soy sauce
갈다,to replace; to change; to grind
갈비탕,short rib soup
갈색,brown
갈아입다,to change (clothes)
갈아타다,to transfer (transport); to change (trains)
감,persimmon
감다,to close (one's eyes)
감동,deep emotion; being moved
감상,appreciation (of art or music)
감상하다,to appreciate (art); to enjoy (music)
감자,potato
감정,emotion; feeling
강당,auditorium; lecture hall
강도,robber; robbery
강물,river water
강아지,puppy
강원도,Gangwon Province
강제,compulsion; coercion; force
강조하다,to emphasize; to stress
강하다,to be strong
갖다,to have; to hold
개구리,frog
개나리,forsythia
개발하다,to develop
개인,individual
개인적,personal; individual
걔,that kid; he/she (casual)
거리,material (for); stuff (for)
거실,living room
거의,almost; nearly
거짓,falsehood; lie
거짓말,lie
걱정되다,to be worried; to feel anxious
걱정스럽다,to be worrisome; to feel concerned
건너가다,to cross over; to go across
건너다,to cross
건너오다,to come across; to cross over (here)
건너편,opposite side; across the way
건지다,to fish out; to pull out (of water); to salvage
건축,architecture; construction
걸리다,to be hung; to take (time); to catch (a cold)
걸음,step; walking pace
검다,to be black
검사,inspection; examination; checkup
검정색,black (color)
겁,fear; fright
겉,outside; surface; exterior
게다가,moreover; besides; on top of that
겨우,barely; only just
겨울철,winter season; wintertime
견디다,to endure; to bear
결과,result; outcome
결국,in the end; finally; after all
결심하다,to make up one's mind; to resolve
결정,decision
결정되다,to be decided
결정하다,to decide
경기,game; match
경기도,Gyeonggi Province
경기장,stadium; sports arena
경상도,Gyeongsang Province
경영,management; business administration
경우,case; circumstance
경제,economy
경제적,economic; economical
경험,experience
경험하다,to experience
곁,side; by one's side
계단,stairs; steps
계산,calculation; payment (of a bill)
계산기,calculator
계산하다,to calculate; to pay (the bill)
계속되다,to continue; to be continued
계속하다,to continue; to keep doing
계약,contract
계획하다,to plan
고개,head (nodding); hill pass
고객,customer; client
고교,high school
고구마,sweet potato
고급,high-class; luxury; advanced level
고려하다,to consider; to take into account
고르다,to choose; to pick; to be even
고모,aunt (father's sister)
고모부,uncle (aunt's husband)
고민,worry; concern
고민하다,to worry; to agonize
고생,hardship; trouble
고생하다,to suffer hardship; to have a hard time
고속,high speed
고속도로,expressway; highway
고속버스,express bus
고장,breakdown; malfunction; one's hometown area
고추,chili pepper
고추장,red chili paste
고춧가루,chili powder; red pepper flakes
고치다,to fix; to repair; to correct
고통,pain; suffering
곧바로,right away; straight away
골목,alley; side street
골목길,alleyway; back street
골프,golf
골프장,golf course
곰,bear
곱다,to be pretty; to be lovely
곳곳,everywhere; here and there
공간,space; room
공기,air
공동,joint; communal
공무원,civil servant; public official
공사,construction work
공연,performance; show
공장,factory
공짜,free of charge; freebie
