Korean,English
가구,household; family unit
가난,poverty
가능,possibility; being possible
가능해지다,to become possible
가득히,fully; to the brim
가라앉다,to sink; to settle; to calm down
가려지다,to be covered; to be hidden
가령,for example; supposing
가로등,streetlight
가로막다,to block; to obstruct
가로수,roadside trees
가르다,to split; to divide
가르침,teaching; lesson
가만,still; quietly; leaving as is
가만있다,to stay still; to keep quiet
가뭄,drought
가사,lyrics
가상,virtual; imaginary
가입,joining; signing up
가입자,subscriber; member
가입하다,to join; to sign up
가장,head of the family; breadwinner
가정,assumption; supposition
가정교사,private tutor
가치,value; worth
가치관,values; view of values
가톨릭,Catholicism; Catholic
가하다,to apply; to inflict
각기,each; respectively
각오,resolve; determination; readiness
간,seasoning; saltiness; liver
간격,interval; gap
간부,executive; senior official
간섭,interference; meddling
간신히,barely; narrowly
간접,indirectness; indirect
간접적,indirect
간판,signboard; sign
간편하다,to be simple and convenient; to be handy
간호,nursing; care (of the sick)
간혹,occasionally; sometimes
갇히다,to be locked up; to be confined
갈등,conflict; discord
갈수록,increasingly; as time goes by
갈증,thirst
감,feeling; sense
감각,sense; sensation
감다,to wind; to wrap (bandage)
감독,director; supervisor; supervision
감동적,moving; touching
감소,decrease; reduction
감소되다,to be decreased; to be reduced
감소하다,to decrease; to decline
감수성,sensitivity; sensibility
감싸다,to wrap; to cover; to protect
감옥,prison; jail
감정적,emotional
감추다,to hide; to conceal
감히,daringly; how dare
갑,pack (of cigarettes); small box
갑작스럽다,to be sudden; to be unexpected
값싸다,to be cheap; to be inexpensive
강남,Gangnam; south of the river
강도,intensity; strength
강력하다,to be powerful; to be strong
강력히,strongly; forcefully
강렬하다,to be intense; to be fierce
강변,riverside
강북,Gangbuk; north of the river
강사,lecturer; instructor
강수량,precipitation; rainfall amount
강요하다,to force; to coerce
강의,lecture
강의하다,to lecture
강조,emphasis; stress
강화하다,to strengthen; to reinforce
갖가지,all kinds; various sorts
갖추다,to equip; to prepare; to have in place
같이하다,to do together; to share
갚다,to pay back; to repay
개개인,each individual
개국,(counter for) countries
개다,to clear up (weather)
개미,ant
개발되다,to be developed
개방,opening (to the public)
개방되다,to be opened (to the public)
개방하다,to open (to the public)
개별,individual; separate
개선,improvement
개선되다,to be improved
개선하다,to improve
개성,individuality; personality
객관적,objective
거꾸로,upside down; backwards; in reverse
거대하다,to be huge; to be enormous
거두다,to gather in; to reap; to achieve
거들다,to help out; to lend a hand
거듭,repeatedly; again and again
거리,distance
거부하다,to refuse; to reject
거액,large sum of money
거절하다,to refuse; to decline
거치다,to pass through; to go via
거칠다,to be rough; to be coarse
거품,bubble; foam
건,case; matter; (counter for) items
건너,across; the other side
건넌방,room across the hall
건네다,to hand over; to pass
건네주다,to hand over; to pass to someone
건드리다,to touch; to provoke
건설,construction
건설되다,to be constructed; to be built
건설하다,to construct; to build
건전하다,to be sound; to be wholesome
건조,dryness; drying
건조하다,to be dry
걷기,walking
걷다,to roll up (sleeves); to take in (laundry)
걸치다,to hang over; to span; to throw on (clothes)
검사,prosecutor
검토,review; examination
겁나다,to be scared; to feel afraid
게,crab
게시판,bulletin board; notice board
게으르다,lazy; idle
겨자,mustard
겪다,to experience; to undergo
견해,view; opinion
결과적,resultant; consequential
결론,conclusion
결석,absence (from class)
결석하다,to be absent (from class)
결승,final match; finals
결심,resolution; determination
결코,never (with negative); by no means
경계,boundary; border
경고,warning
경고하다,to warn
경기,economic conditions; business climate
경력,career; work experience
경비,expenses; costs
경영하다,to manage; to run (a business)
경쟁,competition
경쟁력,competitiveness
경제력,economic power; financial means
경제학,economics
경향,tendency; trend
계곡,valley; ravine
계좌,bank account
계층,social class; stratum
고개,mountain pass; hill
고구려,Goguryeo (ancient kingdom)
고궁,old palace; ancient palace
고급스럽다,luxurious; high-class
고려,Goryeo (dynasty)
고무신,rubber shoes
고소하다,nutty; savory (taste)
고요하다,quiet; still; tranquil
고작,at most; merely; only
고전,classic; classical literature
고집,stubbornness; obstinacy
고집하다,to insist on; to stick to
고통스럽다,painful; agonizing
고함,shout; yell
곡,piece of music; tune
곡식,grain; cereals
곤란하다,difficult; awkward (situation)
곧다,straight; upright
곧이어,right after; immediately following
곧잘,quite well; fairly often
곧장,straight (ahead); directly
골,goal (sports)
골고루,evenly; in a balanced way
골짜기,valley; ravine
골치,head; headache (figurative)
공개,disclosure; opening to the public
공개하다,to make public; to disclose
공격,attack
공격하다,to attack
공공,public (communal)
공군,air force
공급,supply
공기,small bowl (for rice)
공식,official (formal); formula (math)
공식적,official; formal
공업,industry (manufacturing)
공연되다,to be performed (on stage)
공연장,performance venue; concert hall
공연하다,to perform (on stage)
공연히,needlessly; in vain
공주,princess
공중,the air; midair
공통,being common; shared
공통되다,to be common (shared)
공통적,common; shared
공통점,common point; similarity
공포,fear; terror
공해,pollution
과,department (academic)
과거,civil service exam (historical)
과연,indeed; as expected
과외,private tutoring; extracurricular
과정,process; course (curriculum)
관계되다,to be related to; to be involved in
관계없이,regardless of
관계자,person concerned; interested party
관광버스,tour bus; sightseeing bus
관념,notion; concept
관람,viewing (a show); spectating
관람객,spectator; viewer
관리,government official
관리하다,to manage; to administer
관습,custom; convention
관심사,matter of interest; concern
관점,point of view; perspective
관찰,observation
광경,scene; sight; spectacle
광장,plaza; public square
괴로움,suffering; distress
괴로워하다,to suffer; to be distressed
괴롭히다,to bother; to torment; to bully
굉장하다,amazing; magnificent
교내,on campus; within the school
교대,shift (work); rotation
교복,school uniform
교사,teacher; schoolteacher
교시,class period (counter)
교양,refinement; general culture
교외,suburbs; outskirts
교육비,education expenses
교육자,educator
교장,principal; headmaster
교재,teaching materials; textbook
교직,teaching profession
교체,replacement; substitution
교환하다,to exchange
교훈,lesson (moral); teaching
구,district (administrative)
구르다,to roll; to tumble
구별,distinction; differentiation
구별되다,to be distinguished
구별하다,to distinguish; to tell apart
구분,division; classification
구분되다,to be divided; to be classified
구분하다,to divide; to classify
구석,corner; nook
구석구석,every corner; every nook and cranny
구성,composition; organization; makeup
구성되다,to be composed of; to consist of
구성하다,to compose; to organize; to form
구속,restraint; detention; arrest
구속되다,to be detained; to be restrained
구속하다,to detain; to restrain
구역,zone; district; area
구입,purchase
구입하다,to purchase; to buy
구조,structure
구청,district office; ward office
국가적,national; nationwide
국내선,domestic flight; domestic line
국내외,domestic and foreign; home and abroad
국민적,national; of the people
국사,national history; Korean history
국산,domestic product; domestically made
국왕,king; monarch
국적,nationality; citizenship
국제선,international flight; international line
국제적,international
국제화,internationalization; globalization
국회,National Assembly; parliament
군,county (administrative district)
군사,military affairs; soldier
굳다,to be hard; to be firm
굳어지다,to harden; to stiffen
굳히다,to harden; to solidify (resolve)
굶다,to starve; to skip a meal
굽히다,to bend (one's body); to yield
궁극적,ultimate; final
권리,right (legal); entitlement
권위,authority; prestige
귀가,returning home
귀가하다,to return home
귀신,ghost; spirit
귀중하다,to be precious; to be valuable
귀찮다,to be annoying; to be bothersome
귀하다,to be precious; to be rare; to be noble
귓속,inside the ear
규모,scale; size
규정,regulation; rule
균형,balance; equilibrium
귤,tangerine; mandarin
그간,meanwhile; during that time
그나마,even so; at least (that much)
그녀,she; her
그놈,that guy; that fellow (derogatory)
그대,you (poetic); thou
그때그때,each time; case by case
그래야,only then; only that way
그래픽,graphic; graphics
그러다,to do so; to say so
그런대로,tolerably; passably; in its own way
그럴듯하다,to be plausible; to be convincing
그루,counter for trees
그리로,to there; that way
