Chinese (Simpl.),Pinyin,English
爱情,àiqíng,romance; love (romantic)
安排,ānpái,to arrange; to plan; to set up; arrangements
安全,ānquán,safe; secure; safety; security
按时,ànshí,on time; before deadline; on schedule
按照,ànzhào,according to; in accordance with; in the light of; on the basis of
暗,àn,dark; to turn dark; secret; hidden
包括,bāokuò,to comprise; to include; to involve; to incorporate
保护,bǎohù,to protect; to defend; to safeguard; protection
保证,bǎozhèng,guarantee; to guarantee; to ensure; to safeguard
报道,bàodào,to report (news); report
报名,bàomíng,to sign up; to enter one's name; to apply; to register
抱,bào,to hold; to carry (in one's arms); to hug; to embrace
抱歉,bàoqiàn,to be sorry; to feel apologetic; sorry!
倍,bèi,(two three etc) -fold; times (multiplier); double; to increase or multiply
本来,běnlái,original; originally; at first; it goes without saying
笨,bèn,stupid; foolish; silly; slow-witted
笔记本,bǐjìběn,notebook (stationery); notebook (computing)
毕业,bìyè,graduation; to graduate; to finish school
遍,biàn,everywhere; all over; classifier for actions: one time
标准,biāozhǔn,standard; norm; criterion; (adjective) standard
表达,biǎodá,to express; to convey
表格,biǎogé,form; table
表扬,biǎoyáng,to praise; to commend
饼干,bǐnggān,biscuit; cracker; cookie
并且,bìngqiě,and; besides; moreover; furthermore
博士,bóshì,doctor; court academician (in feudal China); Ph.D.
不但,bùdàn,not only (... but also ...)
不得不,bùdébù,have no choice or option but to; cannot but; have to; can't help it
不管,bùguǎn,not to be concerned; regardless of; no matter
不过,bùguò,only; merely; no more than; but
不仅,bùjǐn,not just; not limited to; (as a correlative conjunction) not only (... but also ...)
部分,bùfen,part; share; section; piece
擦,cā,to rub; to scratch; to towel; to wipe with a towel
猜,cāi,to guess
材料,cáiliào,(raw) material; data; (fig.) person who has the potential to do the job
参观,cānguān,to look around; to tour; to visit
差不多,chàbuduō,almost; nearly; more or less; about the same
尝,cháng,to taste; to try (food); to experience; (literary) ever
场,chǎng,a place; field; classifier for a game or show
超过,chāoguò,to surpass; to exceed; to outstrip
吵,chǎo,to quarrel; to make a noise; noisy; to disturb by making a noise
成功,chénggōng,success; to succeed
成熟,chéngshú,mature; ripe; to mature; to ripen
成为,chéngwéi,to become; to turn into
诚实,chéngshí,honest
乘坐,chéngzuò,to ride (in a vehicle)
吃惊,chījīng,to be startled; to be shocked; to be amazed
抽烟,chōuyān,to smoke (a cigarette tobacco)
出差,chūchāi,to go on an official or business trip
出发,chūfā,to set off; to start (on a journey)
出生,chūshēng,to be born
传真,chuánzhēn,fax; facsimile
窗户,chuānghu,window
词典,cídiǎn,dictionary
从来,cónglái,always; at all times; never (if used in negative sentence)
粗心,cūxīn,careless; thoughtless
答案,dáàn,answer; solution
打扮,dǎban,to decorate; to dress; to make up; to adorn
打扰,dǎrǎo,to disturb; to bother; to trouble
打印,dǎyìn,to affix a seal; to stamp; to print out (with a printer)
打折,dǎzhé,to give a discount
打针,dǎzhēn,to give or have an injection
大夫,dàifu,doctor; physician
大概,dàgài,roughly; probably; rough; approximate
大使馆,dàshǐguǎn,embassy
大约,dàyuē,approximately; probably
代表,dàibiǎo,representative; delegate; to represent; to stand for
代替,dàitì,to replace; to take the place of
戴,dài,to put on or wear (glasses hat gloves etc); to respect; to bear; to support
弹,dàn,bullet; shell; pellet (tán = to play/pluck)
当,dāng,to serve as; to act as; when; at
当地,dāngdì,local
当时,dāngshí,then; at that time; while; at once
刀,dāo,knife; blade; single-edged sword; cutlass
导游,dǎoyóu,tour guide; guidebook; to conduct a tour
到处,dàochù,everywhere
到底,dàodǐ,finally; in the end; when all is said and done; after all
道歉,dàoqiàn,to apologize
地球,dìqiú,the earth
地址,dìzhǐ,address
得意,déyì,proud of oneself; pleased with oneself; complacent
等,děng,to wait; and so on; class; grade
底,dǐ,bottom; base; background; end (of year/month)
调查,diàochá,investigation; inquiry; to investigate; to survey
掉,diào,to fall; to drop; to lag behind; to lose
丢,diū,to lose; to put aside; to throw
动作,dòngzuò,movement; motion; action; to act
堵车,dǔchē,traffic jam; (of traffic) to get congested
肚子,dùzi,belly; abdomen; stomach
断,duàn,to break; to snap; to cut off; to give up or abstain from sth
对,duì,right; correct; towards; at
对话,duìhuà,to talk (with sb); dialogue; conversation
对面,duìmiàn,(sitting) opposite; across (the street); directly in front; to be face to face
顿,dùn,classifier for meals; to pause
朵,duǒ,classifier for flowers and clouds
儿童,értóng,child
而,ér,and; as well as; and so; but (not)
发,fā,to send out; to show (one's feeling); to issue; to develop
发生,fāshēng,to happen; to occur; to take place; to break out
发展,fāzhǎn,development; growth; to develop; to grow
法律,fǎlǜ,law
翻译,fānyì,to translate; to interpret; translator; interpreter
烦恼,fánnǎo,to be worried; to be distressed; worries
反对,fǎnduì,to oppose; to be against; to object to
反映,fǎnyìng,to mirror; to reflect; mirror image; reflection
范围,fànwéi,range; scope; limit; extent
方法,fāngfǎ,method; way; means
方面,fāngmiàn,respect; aspect; field; side
方向,fāngxiàng,direction; orientation
访问,fǎngwèn,to visit; to call on; to interview
放弃,fàngqì,to renounce; to abandon; to give up
放暑假,fàngshǔjià,to be on summer vacation
分之,fēnzhī,(indicating a fraction)
份,fèn,classifier for gifts; newspaper; magazine; papers; reports; contracts etc
丰富,fēngfù,to enrich; rich; plentiful; abundant
风景,fēngjǐng,scenery; landscape
否则,fǒuzé,otherwise; if not; or (else)
符合,fúhé,in keeping with; in accordance with; tallying with; in line with
父亲,fùqīn,father
负责,fùzé,to be in charge of; to take responsibility for; to be to blame; conscientious
复印,fùyìn,to photocopy; to duplicate a document
复杂,fùzá,complicated; complex
富,fù,rich; abundant; wealthy
改变,gǎibiàn,to change; to alter; to transform
感动,gǎndòng,to move (sb); to touch (sb emotionally); moving
感觉,gǎnjué,feeling; impression; sensation; to feel
感情,gǎnqíng,emotion; sentiment; affection; feelings between two persons
感谢,gǎnxiè,(express) thanks; gratitude; grateful; thankful
干,gān,dry; dried food; empty; hollow
干杯,gānbēi,to drink a toast; Cheers! (proposing a toast); Here's to you!; Bottoms up!
干燥,gānzào,to dry (of weather paint cement etc); desiccation; dull; uninteresting
刚刚,gānggang,just recently; just a moment ago
高级,gāojí,high level; high grade; advanced; high-ranking
个子,gèzi,height; stature; build; size
各,gè,each; every
工具,gōngjù,tool; instrument; utensil; means (to achieve a goal etc)
工资,gōngzī,wages; pay
公里,gōnglǐ,kilometer
共同,gòngtóng,common; joint; jointly; together
购物,gòuwù,shopping
够,gòu,enough (sufficient); enough (too much); (coll.) (before adj.) really; (coll.) to reach by stretching out
估计,gūjì,to estimate; to reckon; (coll.) to suppose
孤单,gūdān,lone; lonely; loneliness
鼓励,gǔlì,to encourage
鼓掌,gǔzhǎng,to applaud; to clap
故意,gùyì,deliberately; on purpose
顾客,gùkè,customer; client
挂,guà,to hang or suspend (from a hook etc); to hang up (the phone); (of a line) to be dead; to be worried or concerned
关键,guānjiàn,crucial point; crux; key; crucial
观众,guānzhòng,spectators; audience; visitors (to an exhibition etc)
管理,guǎnlǐ,to supervise; to manage; to administer; management
光,guāng,light; ray; bright; shiny
广播,guǎngbō,broadcast; broadcasting; to broadcast; (formal) to propagate
广告,guǎnggào,to advertise; a commercial; advertisement
逛,guàng,to stroll; to visit
规定,guīdìng,to stipulate; to specify; to prescribe; to fix (a price)
国际,guójì,international
果然,guǒrán,really; sure enough; as expected; if indeed
过,guò,to cross; to go over; to pass (time); to celebrate (a holiday)
过程,guòchéng,course of events; process
咳嗽,késou,to cough
海洋,hǎiyáng,ocean
害羞,hàixiū,shy; embarrassed; bashful
寒假,hánjià,winter vacation
汗,hàn,sweat; perspiration
航班,hángbān,(scheduled) flight; (scheduled) sailing
好处,hǎochù,benefit; advantage; merit
好像,hǎoxiàng,as if; to seem like
