Chinese (Simpl.),Pinyin,English
阿拉伯语,Ālābóyǔ,Arabic (language)
呵护,hēhù,to bless; to cherish; to take good care of; to conserve
哎,āi,hey!; (interjection used to attract attention or to express surprise or disapprobation)
哎呀,āiyā,interjection of wonder; shock or admiration
哀求,āiqiú,to entreat; to implore; to plead
唉,āi,interjection or grunt of agreement or recognition (e.g. yes it's me!); to sigh; alas; oh dear
挨家挨户,āijiāāihù,to go from house to house
癌,ái,cancer; carcinoma
癌症,áizhèng,cancer
艾滋病,àizībìng,AIDS (loanword)
爱不释手,àibùshìshǒu,(idiom) to like sth so much that one is reluctant to put it down; to find sth utterly irresistible
爱理不理,àilǐbùlǐ,(idiom) standoffish; indifferent
爱面子,àimiànzi,to like to look good in the eyes of others; sensitive about how one is regarded by others; proud
爱惜,àixī,to cherish; to treasure; to use sparingly
碍事,àishì,to be in the way; to be a hindrance; (usu. in the negative) to be of consequence; to matter
安定,āndìng,stable; calm; settled
安抚,ānfǔ,to placate; to pacify; to appease
安眠药,ānmiányào,sleeping pill
安宁,ānníng,peaceful; tranquil
安稳,ānwěn,steady; stable; sedate; calm
安心,ānxīn,at ease; to feel relieved; to set one's mind at rest; to keep one's mind on sth
安逸,ānyì,easy and comfortable; easy
按键,ànjiàn,button or key (on a device); keystroke; to press a button
按理说,ànlǐshuō,it is reasonable to say that...
按说,ànshuō,in the ordinary course of events; ordinarily; normally
案件,ànjiàn,case; instance
暗地里,àndìli,secretly; inwardly; on the sly
暗杀,ànshā,to assassinate
暗中,ànzhōng,in the dark; in secret; on the sly; surreptitiously
昂贵,ángguì,expensive; costly
凹,āo,depressed; sunken; indented; concave
熬,áo,to simmer; to stew; to decoct; to endure (熬夜 = stay up late)
熬夜,áoyè,to stay up late or all night
傲,ào,proud; arrogant; to despise; unyielding
傲慢,àomàn,arrogant; haughty
奥秘,àomì,secret; mystery
奥运会,Àoyùnhuì,Olympic Games; the Olympics (tone on a: Ào)
八卦,bāguà,the eight divinatory trigrams of the Book of Changes 易经; gossip; gossipy
扒,bā,to peel; to skin; to tear; to pull down
芭蕾,bālěi,ballet (loanword)
把柄,bǎbǐng,handle; (fig.) information that can be used against sb
把关,bǎguān,to guard a pass; to check on sth
把手,bǎshou,handle; grip; knob
靶子,bǎzi,target
坝,bà,dam; dike; embankment
霸占,bàzhàn,to occupy by force; to seize; to dominate
巴不得,bābude,(coll.) to be eager for; to long for; to look forward to
罢免,bàmiǎn,to remove sb from their post; to dismiss
罢休,bàxiū,to give up; to abandon (a goal etc); to let sth go; forget it
掰,bāi,to break off or break open sth with one's hands; (fig.) to break off (a relationship)
白白,báibái,in vain; to no purpose; for nothing; white
百分比,bǎifēnbǐ,percentage
百合,bǎihé,lily
百科全书,bǎikēquánshū,encyclopedia
柏树,bǎishù,cypress tree
摆放,bǎifàng,to set up; to arrange; to lay out
摆平,bǎipíng,to be fair; to be impartial; to settle (a matter etc)
摆设,bǎishè,to set out; to display; to furnish (a room or house); ornament
