Chinese (Simpl.),Pinyin,English
极少数,jíshǎoshù,extremely few; a small minority
极为,jíwéi,extremely; exceedingly
极限,jíxiàn,limit; extreme boundary
急剧,jíjù,rapid; sudden
急迫,jípò,urgent; pressing; imperative
急性,jíxìng,acute
急需,jíxū,to urgently need; urgent need
急于,jíyú,eager to; in a hurry to
急诊,jízhěn,to give or receive urgent medical treatment; emergency treatment (at a hospital emergency department or from a doctor on a house call)
急转弯,jízhuǎnwān,to make a sudden turn
脊梁,jǐliáng,backbone; spine; (coll.) back (of a human or other vertebrate)
棘手,jíshǒu,thorny (problem); intractable
集会,jíhuì,to gather; assembly; meeting
集结,jíjié,to assemble; to concentrate; to mass; to build up
集邮,jíyóu,stamp collecting; philately
集装箱,jízhuāngxiāng,container (for shipping)
集资,jízī,to raise money; to accumulate funds
嫉妒,jídù,to be jealous of; to envy
几率,jīlǜ,probability; odds
挤压,jǐyā,to squeeze; to press; to extrude
计,jì,to calculate; to compute; to count; to regard as important
计策,jìcè,stratagem
计较,jìjiào,to bother about; to haggle; to bicker; to argue
计时,jìshí,to measure time; to time; to reckon by time
记号,jìhao,mark; symbol; notation; seal
记忆犹新,jìyìyóuxīn,to remain fresh in one's memory (idiom)
纪录片,jìlùpiàn,newsreel; documentary (film or TV program)
纪念碑,jìniànbēi,monument
纪念馆,jìniànguǎn,memorial hall; commemorative museum
纪念日,jìniànrì,day of commemoration; memorial day
纪实,jìshí,record of actual events; documentary (factual rather than fictional)
忌,jì,to be jealous of; fear; dread; scruple
忌讳,jìhuì,taboo; to avoid as taboo; to abstain from
忌口,jìkǒu,abstain from certain food (as when ill); avoid certain foods; be on a diet
技艺,jìyì,skill; art
剂,jì,dose (medicine)
继,jì,to continue; to follow after; to go on with; to succeed
继而,jìér,then; afterwards
继父,jìfù,stepfather
继母,jìmǔ,stepmother
寂静,jìjìng,quiet
寂寞,jìmò,lonely; lonesome; (of a place) quiet; silent
寄托,jìtuō,to entrust (to sb); to place (one's hope energy etc) in; a thing in which you invest (your hope energy etc)
祭,jì,to offer a sacrifice to (gods or ancestors); memorial ceremony; (in classical novels) to recite an incantation to activate a magic weapon; (lit. and fig.) to wield
祭奠,jìdiàn,to offer sacrifices (to one's ancestors); to hold or attend a memorial service
祭祀,jìsì,to offer sacrifices to the gods or ancestors
加紧,jiājǐn,to intensify; to speed up; to step up
加剧,jiājù,to intensify
加深,jiāshēn,to deepen
加重,jiāzhòng,to make heavier; to emphasize; (of an illness etc) to become more serious; to aggravate (a bad situation)
佳节,jiājié,festive day; holiday
家伙,jiāhuo,household dish; implement or furniture; domestic animal; (coll.) guy; chap
家家户户,jiājiāhùhù,each and every family (idiom); every household
家教,jiājiào,family education; upbringing; to bring sb up; private tutor
家境,jiājìng,family financial situation; family circumstances
家禽,jiāqín,poultry; domestic fowl
家用,jiāyòng,home-use; domestic; family expenses; housekeeping money
家喻户晓,jiāyùhùxiǎo,understood by everyone (idiom); well known; a household name
