Chinese (Simpl.),Pinyin,English
收支,shōuzhī,cash flow; financial balance; income and expenditure
手臂,shǒubì,arm; helper
手册,shǒucè,manual; handbook
手动,shǒudòng,manual; manually operated; manual gear-change
手脚,shǒujiǎo,hand and foot; movement of limbs; action; trick
手帕,shǒupà,handkerchief
手枪,shǒuqiāng,pistol
手势,shǒushì,gesture; sign; signal
手术室,shǒushùshì,operating room
手头,shǒutóu,on hand; at hand; one's financial situation
手腕,shǒuwàn,wrist; trickery; finesse; ability
手艺,shǒuyì,craftmanship; workmanship; handicraft; trade
手掌,shǒuzhǎng,palm
守候,shǒuhòu,to wait for; to expect; to keep watch; to watch over
守护,shǒuhù,to guard; to protect
守株待兔,shǒuzhūdàitù,lit. to guard a tree-stump; waiting for rabbits (idiom); to wait idly for opportunities; to trust to chance rather than show initiative
首创,shǒuchuàng,to create; original creation; to be the first to do sth
首府,shǒufǔ,capital city of an autonomous region
首批,shǒupī,first batch
首饰,shǒushì,jewelry; head ornament
首要,shǒuyào,the most important; of chief importance
寿命,shòumìng,life span; life expectancy; lifetime (of a machine)
受过,shòuguò,to take the blame (for sb else)
受害,shòuhài,to suffer damage; injury etc; damaged; injured; killed
受害人,shòuhàirén,victim
受贿,shòuhuì,to accept a bribe
受惊,shòujīng,startled
受苦,shòukǔ,to suffer hardship
受理,shòulǐ,to accept to hear a case; to handle (a service)
受骗,shòupiàn,to be cheated; to be taken in; to be hoodwinked
受益,shòuyì,to benefit from; profit
售价,shòujià,selling price
售票,shòupiào,to sell tickets
授权,shòuquán,to authorize
授予,shòuyǔ,to award; to confer
书橱,shūchú,bookcase
书籍,shūjí,books; works
书记,shūji,secretary (chief official of a branch of a socialist or communist party); clerk; scribe
书面,shūmiàn,in writing; written
书写,shūxiě,to write
抒情,shūqíng,to express emotion; lyric
枢纽,shūniǔ,hub (e.g. of traffic network); hinge; pivot; fulcrum
梳,shū,a comb; to comb
梳理,shūlǐ,to comb; fig. to sort out
梳子,shūzi,comb
疏导,shūdǎo,to dredge; to open up a path for; to remove obstructions; to clear the way
疏忽,shūhu,to neglect; to overlook; negligence; carelessness
疏散,shūsàn,to scatter; to disperse; to evacuate; scattered
疏通,shūtōng,to unblock; to dredge; to clear the way; to get things flowing
舒畅,shūchàng,happy; entirely free from worry
输家,shūjiā,loser (as opposed to winner 赢家)
输送,shūsòng,to transport; to convey; to deliver
输血,shūxuè,to transfuse blood; to give aid and support
输液,shūyè,intravenous infusion; to get put on an IV
赎,shú,to redeem; to ransom
属性,shǔxìng,attribute; property
暑期,shǔqī,summer vacation time
曙光,shǔguāng,dawn; fig. the dawn of a new era
束缚,shùfù,to bind; to restrict; to tie; to commit
树立,shùlì,to set up; to establish
树木,shùmù,tree
树梢,shùshāo,the tip of a tree; treetop
树荫,shùyīn,shade of a tree
树枝,shùzhī,branch; twig
竖,shù,to erect; vertical; vertical stroke (in Chinese characters)
数额,shùé,amount; sum of money; fixed number
数据库,shùjùkù,database
刷新,shuāxīn,to renovate; to refurbish; to refresh (computer window); to write a new page (in history)
耍,shuǎ,to play with; to wield; to act (cool etc); to display (a skill one's temper etc)
耍赖,shuǎlài,to act shamelessly; to refuse to acknowledge that one has lost the game; or made a promise etc; to act dumb; to act as if sth never happened
衰减,shuāijiǎn,to weaken; to attenuate
衰竭,shuāijié,organ failure; exhaustion; prostration (medicine)
衰老,shuāilǎo,to age; to deteriorate with age; old and weak
衰弱,shuāiruò,weak; feeble
衰退,shuāituì,to decline; to fall; to drop; to falter
摔跤,shuāijiāo,to trip and fall; to wrestle; wrestling (sports)
甩,shuǎi,to throw; to fling; to swing; to leave behind
拴,shuān,to tie up
涮,shuàn,to rinse; to trick; to fool sb; to cook by dipping finely sliced ingredients briefly in boiling water or soup (generally done at the dining table)
双胞胎,shuāngbāotāi,twin
双边,shuāngbiān,bilateral
双向,shuāngxiàng,bidirectional; two-way; interactive
双赢,shuāngyíng,profitable to both sides; a win-win situation
双重,shuāngchóng,double
霜,shuāng,frost; white powder or cream spread over a surface; frosting; (skin) cream
爽快,shuǎngkuai,refreshed; rejuvenated; frank and straightforward
谁知道,shéizhīdào,God knows...; Who would have imagined...?
水槽,shuǐcáo,sink
水稻,shuǐdào,rice; paddy
水管,shuǐguǎn,water pipe
水壶,shuǐhú,kettle; canteen; watering can
水货,shuǐhuò,smuggled goods; unauthorized goods
水晶,shuǐjīng,crystal
水利,shuǐlì,water conservancy; irrigation works
水灵灵,shuǐlínglíng,see 水灵
水龙头,shuǐlóngtóu,faucet; tap
水落石出,shuǐluòshíchū,as the water recedes; the rocks appear (idiom); the truth comes to light
水面,shuǐmiàn,water surface
水手,shuǐshǒu,mariner; sailor; seaman
水温,shuǐwēn,water temperature
水域,shuǐyù,waters; body of water
水源,shuǐyuán,water source; water supply; headwaters of a river
水涨船高,shuǐzhǎngchuángāo,the tide rises; the boat floats (idiom); fig. to change with the overall trend; to develop according to the situation
水准,shuǐzhǔn,level (of achievement etc); standard; level (surveying)
税收,shuìshōu,taxation
税务,shuìwù,taxation services; state revenue service
睡袋,shuìdài,sleeping bag
顺便,shùnbiàn,conveniently; in passing; without much extra effort
顺差,shùnchā,(trade or budget) surplus
顺畅,shùnchàng,smooth and unhindered; fluent
顺从,shùncóng,obedient; to comply; to submit; to defer
顺理成章,shùnlǐchéngzhāng,logical; only to be expected; rational and clearly structured (of text)
顺路,shùnlù,by the way; while out doing sth else; conveniently
顺其自然,shùnqízìrán,to let nature take its course (idiom)
顺势,shùnshì,to take advantage; to seize an opportunity; in passing; without taking extra trouble
顺手,shùnshǒu,easily; without trouble; while one is at it; in passing
顺心,shùnxīn,happy; satisfactory
顺应,shùnyìng,to comply; to conform to; in tune with; adapting to
顺着,shùnzhe,to follow; following; along
瞬间,shùnjiān,in an instant; in a flash
说白了,shuōbáile,to speak frankly
说不上,shuōbushàng,to be unable to say or tell; to not be worth mentioning
说到底,shuōdàodǐ,in the final analysis; in the end
说道,shuōdào,to state; to say (the quoted words); to discuss; reason (behind sth)
说干就干,shuōgànjiùgàn,to do what needs to be done; without delay
说谎,shuōhuǎng,to lie; to tell an untruth
说老实话,shuōlǎoshihuà,to be honest; to tell the truth; to be frank
说起来,shuōqǐlái,Say
说情,shuōqíng,to intercede; to plead for sb else
说闲话,shuōxiánhuà,to chat; to gossip
说真的,shuōzhēnde,to tell the truth; honestly; in fact
硕果,shuòguǒ,major achievement; great work; triumphant success
丝,sī,silk; thread; trace; (cuisine) shreds or julienne strips
丝绸,sīchóu,silk cloth; silk
丝毫,sīháo,the slightest amount or degree; a bit
司法,sīfǎ,judicial; (administration of) justice
司空见惯,sīkōngjiànguàn,a common occurrence (idiom)
司令,sīlìng,commanding officer
私房钱,sīfángqián,secret purse; secret stash of money
私家车,sījiāchē,private car
私立,sīlì,private (company school etc)
私事,sīshì,personal matters
私下,sīxià,in private
私营,sīyíng,privately-owned; private
私有,sīyǒu,private; privately-owned
私自,sīzì,private; personal; secretly; without explicit approval
思路,sīlù,line of thought; way of thinking
思念,sīniàn,to think of; to long for; to miss
思前想后,sīqiánxiǎnghòu,to consider past cause and future effect (idiom); to think over the past and future; to ponder over reasons and connection
思索,sīsuǒ,to think deeply; to ponder
撕,sī,to tear
死心,sǐxīn,to give up; to admit failure; to drop the matter; to reconcile oneself to loss
死心塌地,sǐxīntādì,to be hell-bent on; dead set on sth; unswerving
四合院,sìhéyuàn,courtyard house with a fully enclosed courtyard (type of Chinese residence)
四季,sìjì,four seasons; namely: spring 春; summer 夏; autumn 秋 and winter 冬
四面八方,sìmiànbāfāng,in all directions; all around; far and near
寺庙,sìmiào,temple; monastery; shrine
饲料,sìliào,feed; fodder
饲养,sìyǎng,to raise; to rear
松绑,sōngbǎng,to untie; (fig.) to ease restrictions
松弛,sōngchí,to relax; relaxed; limp; lax
耸立,sǒnglì,to stand tall; to tower aloft
送别,sòngbié,to farewell
搜查,sōuchá,to search
搜集,sōují,to gather; to collect
搜救,sōujiù,search and rescue
搜寻,sōuxún,to search; to look for
艘,sōu,classifier for ships
苏醒,sūxǐng,to come to; to awaken; to regain consciousness
酥,sū,flaky pastry; crunchy; limp; soft
俗,sú,custom; convention; popular; common
俗话,súhuà,common saying; proverb
俗话说,súhuàshuō,as the proverb says; as they say...
俗语,súyǔ,common saying; proverb; colloquial speech
素,sù,plain; vegetarian (food); element (元素)
素不相识,sùbùxiāngshí,to be total strangers (idiom)
素材,sùcái,source material (in literature and art)
素描,sùmiáo,sketch
素食,sùshí,vegetarian food; to eat a vegetarian diet
素养,sùyǎng,(personal) accomplishment; attainment in self-cultivation
塑造,sùzào,to model; to mold; (fig.) to create (a character a market an image etc); (literature) to portray (in words)
诉苦,sùkǔ,to grumble; to complain; grievance
诉说,sùshuō,to recount; to tell of; to relate; (fig.) (of a thing) to stand as testament to (some past history)
诉讼,sùsòng,lawsuit
蒜,suàn,garlic
算计,suànji,to reckon; to calculate; to plan; to expect
算盘,suànpán,abacus; plan; scheme
算账,suànzhàng,(accounting) to balance the books; to do the accounts; (fig.) to settle an account; to get one's revenge
虽说,suīshuō,though; although
随处可见,suíchùkějiàn,can be seen everywhere
随大溜,suídàliù,to follow the crowd; going with the tide
随机,suíjī,according to the situation; pragmatic; random
随即,suíjí,immediately; presently; following which
随身,suíshēn,to (carry) on one's person; to (take) with one
随时随地,suíshísuídì,anytime and anywhere
随心所欲,suíxīnsuǒyù,to follow one's heart's desires; to do as one pleases (idiom)
遂心,suìxīn,to one's liking
隧道,suìdào,tunnel
损,sǔn,to decrease; to lose; to damage; to harm
损坏,sǔnhuài,to damage; to injure
损人利己,sǔnrénlìjǐ,harming others for one's personal benefit (idiom); personal gain to the detriment of others
损伤,sǔnshāng,to harm; to damage; to injure; impairment
缩,suō,to withdraw; to pull back; to contract; to shrink
缩水,suōshuǐ,to shrink (in the wash); fig. to shrink (of profits etc)
